,comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
284,16060,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,7,6,1,"Thakur to Rajapaksa, 1 run",False,False,False,342619,Bhanuka Rajapaksa,31.0,18.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,28235.0,Shikhar Dhawan,15.0,12.0,1108375.0,Varun Chakravarthy,1.0,0.0,6.0,0.0,,,,,,,False,yorker length attempted. Very nearly it. Bhanuka digs it away towards the off side and they scamper across for one. <B>Time out</b>,,
285,17010,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,8,1,0,"Narine to Rajapaksa, no run",False,False,False,342619,Bhanuka Rajapaksa,31.0,19.0,230558.0,Sunil Narine,1.1,0.0,14.0,0.0,28235.0,Shikhar Dhawan,15.0,12.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,,,,,,,False,"around the stumps, landing full around leg. He gets low to sweep. Ball hits his bat's handle.",<p>Narine again. They need to break this blossoming partnership.</p>,
286,17020,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,8,2,2,"Narine to Rajapaksa, 2 runs",False,False,False,342619,Bhanuka Rajapaksa,33.0,20.0,230558.0,Sunil Narine,1.2,0.0,16.0,0.0,28235.0,Shikhar Dhawan,15.0,12.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,,,,,,,False,"fullish ball on middle, and clipped off his pads to deep midwicket. Played gently enough for them to comfortable pinch a second run",,
287,17030,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,8,3,4,"Narine to Rajapaksa, FOUR",True,False,False,342619,Bhanuka Rajapaksa,37.0,21.0,230558.0,Sunil Narine,1.3,0.0,20.0,0.0,28235.0,Shikhar Dhawan,15.0,12.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,,,,,,,False,"<B>poor from Varun</b> at short fine leg. Good length ball around leg and he mistimes a sweep, playing more of a paddle. Varun at short fine runs to his right and then dives awkwardly, and the ball goes under his body for four.",,
288,17040,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,8,4,1,"Narine to Rajapaksa, 1 run",False,False,False,342619,Bhanuka Rajapaksa,38.0,22.0,230558.0,Sunil Narine,1.4,0.0,21.0,0.0,28235.0,Shikhar Dhawan,15.0,12.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,,,,,,,False,"<B>Rajapaksa lucky</b> as he comes down the track trying to loft this length ball over his head. Delivery takes an inside edge, goes past the stumps to short fine on this occasion",,
289,17050,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,8,5,1,"Narine to S Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,16.0,13.0,230558.0,Sunil Narine,1.5,0.0,22.0,0.0,342619.0,Bhanuka Rajapaksa,38.0,22.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,,,,,,,False,full ball on middle and leg. Goes back in his crease and taps it to midwicket for a walking single,,
290,17060,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,8,6,2,"Narine to Rajapaksa, 2 runs",False,False,False,342619,Bhanuka Rajapaksa,40.0,23.0,230558.0,Sunil Narine,2.0,0.0,24.0,0.0,28235.0,Shikhar Dhawan,16.0,13.0,475281.0,Shardul Thakur,1.0,0.0,13.0,0.0,,,,,,,False,"<B>chipped in the air</b> but falls short of Rinku at long on. Rajapaksa came down the ground and checked his flick after getting to the pitch. That's probably what saved him too, because Rinku is a fast runner and a safe pair of hands",,
291,18010,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,9,1,1,"Thakur to S Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,17.0,14.0,475281.0,Shardul Thakur,1.1,0.0,14.0,0.0,342619.0,Bhanuka Rajapaksa,40.0,23.0,230558.0,Sunil Narine,2.0,0.0,24.0,0.0,,,,,,,False,good length ball around off and angling accross. Punched to Dre Russ at deep point,<p>Dhawan has faced only 2.1 overs so far.</p>,
292,18020,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,9,2,4,"Thakur to Rajapaksa, FOUR",True,False,False,342619,Bhanuka Rajapaksa,44.0,24.0,475281.0,Shardul Thakur,1.2,0.0,18.0,0.0,28235.0,Shikhar Dhawan,17.0,14.0,230558.0,Sunil Narine,2.0,0.0,24.0,0.0,,,,,,,False,"around the stumps. Full ball, width offered, Rajapaksa pokes at it with the hands going away from his body. Manages to get the nudge between keeper and short third!",,
293,18030,2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,1,9,3,1,"Thakur to Rajapaksa, 1 run",False,False,False,342619,Bhanuka Rajapaksa,45.0,25.0,475281.0,Shardul Thakur,1.3,0.0,19.0,0.0,28235.0,Shikhar Dhawan,17.0,14.0,230558.0,Sunil Narine,2.0,0.0,24.0,0.0,,,,,,,False,<B>inside edge</b> onto his pads as he tries to mow a leg-side swipe across the line. Full ball around off that he tried to smack through midwicket,,
