,comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
1445,190,2023.0,1359481,DC v GT,DC,GT,DC,1,1,6,0,"Mohammed Shami to Warner, no run",False,False,False,219889,David Warner,4.0,6.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,1070168.0,Prithvi Shaw,0.0,0.0,,,,,,,,,,,,,False,"Good length ball on off and middle, he tickles it to the on-side. End of an eventful over.",,"<p>Arun Prakash: ""such a beautiful high intense over messed up with extras""</p>"
1446,180,2023.0,1359481,DC v GT,DC,GT,DC,1,1,6,5,"Mohammed Shami to Warner, 5 wides",False,True,False,219889,David Warner,4.0,5.0,481896.0,Mohammed Shami,0.5,0.0,11.0,0.0,1070168.0,Prithvi Shaw,0.0,0.0,,,,,,,,,,,,,False,Five wides now. Sprays the length ball well down leg. Saha can't do anything there.,<p>Over the wicket now</p>,
1447,11010,2023.0,1359481,DC v GT,DC,GT,DC,1,2,1,1,"Little to Shaw, 1 run",False,False,False,1070168,Prithvi Shaw,1.0,1.0,928067.0,Josh Little,0.1,0.0,1.0,0.0,219889.0,David Warner,4.0,6.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,,,,,,,False,"Short and wide to start off, he goes hard at it to get it to deep third, who collects it on the bounce.",<p>Joshua Little to share the new ball. Can he get the ball back into Shaw? Over the stumps.</p>,
1448,11020,2023.0,1359481,DC v GT,DC,GT,DC,1,2,2,0,"Little to Warner, no run",False,False,False,219889,David Warner,4.0,7.0,928067.0,Josh Little,0.2,0.0,1.0,0.0,1070168.0,Prithvi Shaw,1.0,1.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,,,,,,,False,Length ball that moves sharply back into Warner and catches him on the pads with the ball sliding down leg.,<p>Stays over the wicket. Two slips in place.</p>,
1449,11030,2023.0,1359481,DC v GT,DC,GT,DC,1,2,3,2,"Little to Warner, 2 runs",False,False,False,219889,David Warner,6.0,8.0,928067.0,Josh Little,0.3,0.0,3.0,0.0,1070168.0,Prithvi Shaw,1.0,1.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,,,,,,,False,"Some more swing, as the ball leaves the batter outside off. But that was a low full toss as Warner reaches for it and drives to covers, who misfields and concedes two runs.",,
1450,11040,2023.0,1359481,DC v GT,DC,GT,DC,1,2,4,0,"Little to Warner, no run",False,False,False,219889,David Warner,6.0,9.0,928067.0,Josh Little,0.4,0.0,3.0,0.0,1070168.0,Prithvi Shaw,1.0,1.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,,,,,,,False,"Cuts him into half again! Back of a length ball on middle, he shapes up for the pull, and then checks his shot to eventually miss it.",,
1451,11050,2023.0,1359481,DC v GT,DC,GT,DC,1,2,5,2,"Little to Warner, 2 runs",False,False,False,219889,David Warner,8.0,10.0,928067.0,Josh Little,0.5,0.0,5.0,0.0,1070168.0,Prithvi Shaw,1.0,1.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,,,,,,,False,Good length ball with a bit of a nibble away from Warner. He opens the face of the blade and plays it late past point.,,
1452,11060,2023.0,1359481,DC v GT,DC,GT,DC,1,2,6,4,"Little to Warner, FOUR",True,False,False,219889,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,1070168.0,Prithvi Shaw,1.0,1.0,481896.0,Mohammed Shami,1.0,0.0,11.0,0.0,,,,,,,False,<strong>Picks up a four now!</strong> Little gets that short and wide and Warner ain't missing out. Frees his arms and slams the cut past cover. Much more confident shot.,,
1453,12020,2023.0,1359481,DC v GT,DC,GT,DC,1,3,1,4,"Mohammed Shami to Shaw, FOUR",True,False,False,1070168,Prithvi Shaw,5.0,2.0,481896.0,Mohammed Shami,1.1,0.0,18.0,0.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,,,,,,,False,"Short and enough width for Shaw to throw his hands at it. Gets a thick outside edge, but enough to clear deep  third.",,
1454,12010,2023.0,1359481,DC v GT,DC,GT,DC,1,3,1,3,"Mohammed Shami to Shaw, 3 wides",False,True,False,1070168,Prithvi Shaw,1.0,1.0,481896.0,Mohammed Shami,1.0,0.0,14.0,0.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,,,,,,,False,"Shami has not been able to control the swing today. On a length but strayed down leg, Saha dives to his left but can't rein it in.",<p>Two slips in place for Shami who is over the wicket</p>,
1455,12030,2023.0,1359481,DC v GT,DC,GT,DC,1,3,2,0,"Mohammed Shami to Shaw, no run",False,False,False,1070168,Prithvi Shaw,5.0,3.0,481896.0,Mohammed Shami,1.2,0.0,18.0,0.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,,,,,,,False,"Length on middle and leg, he flicks to the left of short midwicket, who dives to his left and saves important runs for his team.",,
1456,12040,2023.0,1359481,DC v GT,DC,GT,DC,1,3,3,2,"Mohammed Shami to Shaw, 2 runs",False,False,False,1070168,Prithvi Shaw,7.0,4.0,481896.0,Mohammed Shami,1.3,0.0,20.0,0.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,,,,,,,False,"Length that shapes back into Shaw, who looks to drive on the up, instead gets it off the inside-half of his bat through midwicket.",<p>One slip goes out</p>,
1457,12050,2023.0,1359481,DC v GT,DC,GT,DC,1,3,4,0,"Mohammed Shami to Shaw, OUT",False,False,False,1070168,Prithvi Shaw,7.0,5.0,481896.0,Mohammed Shami,1.4,0.0,20.0,1.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,1070168.0,Prithvi Shaw,Mohammed Shami,7.0,5.0,PP Shaw c Joseph b Mohammed Shami 7 (17m 5b 1x4 0x6) SR: 140.00,False,"<strong>Short ball does the trick for Shami!</strong> Banged in short, and hurries Shaw, whose weight was forward. He still tries to got for the pull, but can only get a top-edge with the ball ballooning straight up for mid-on to take a comfortable catch.",,
1458,12060,2023.0,1359481,DC v GT,DC,GT,DC,1,3,5,0,"Mohammed Shami to Marsh, no run",False,False,False,272450,Mitchell Marsh,0.0,1.0,481896.0,Mohammed Shami,1.5,0.0,20.0,1.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,,,,,,,False,Length ball with some swing but that was a quite a bit outside off. Marsh shoulders arms.,<p>Mitchell Marsh in at No.3. Was out for a golden duck in the previous game. One slip and a gully in place.</p>,
1459,12070,2023.0,1359481,DC v GT,DC,GT,DC,1,3,6,0,"Mohammed Shami to Marsh, no run",False,False,False,272450,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,219889.0,David Warner,12.0,11.0,928067.0,Josh Little,1.0,0.0,9.0,0.0,,,,,,,False,Length that skids through on off as Marsh defends back towards the bowler.,,"<p>Srikanth Pilla: ""IPL misses the Warner jump. May be today is the day.""</p>"
1460,13010,2023.0,1359481,DC v GT,DC,GT,DC,1,4,1,0,"Little to Warner, no run",False,False,False,219889,David Warner,12.0,12.0,928067.0,Josh Little,1.1,0.0,9.0,0.0,272450.0,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,,,,,,,False,"Good length ball that jags back into Warner, who is beaten for pace as he looks to slaps that away towards the on-side. Gets hit on the thigh pad. Appeal for lbw but that was high.",,
1461,13020,2023.0,1359481,DC v GT,DC,GT,DC,1,4,2,0,"Little to Warner, no run",False,False,False,219889,David Warner,12.0,13.0,928067.0,Josh Little,1.2,0.0,9.0,0.0,272450.0,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,,,,,,,False,"Back of a length ball outside off, he looks to shape for the cut but misses again.",,
1462,13030,2023.0,1359481,DC v GT,DC,GT,DC,1,4,3,0,"Little to Warner, no run",False,False,False,219889,David Warner,12.0,14.0,928067.0,Josh Little,1.3,0.0,9.0,0.0,272450.0,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,,,,,,,False,On a length just on off. Warner gets across a touch and defends staunchly.,,
1463,13040,2023.0,1359481,DC v GT,DC,GT,DC,1,4,4,0,"Little to Warner, no run",False,False,False,219889,David Warner,12.0,15.0,928067.0,Josh Little,1.4,0.0,9.0,0.0,272450.0,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,,,,,,,False,The nip-backer again from the good length area that hits Warner's splice of the bat as he pats towards point.,,
1464,13050,2023.0,1359481,DC v GT,DC,GT,DC,1,4,5,0,"Little to Warner, no run",False,False,False,219889,David Warner,12.0,16.0,928067.0,Josh Little,1.5,0.0,9.0,0.0,272450.0,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,,,,,,,False,"Goes fuller this time around does Little, closer to the stumps. Warner pushes towards mid-off. No runs so far off this over.",,
1465,13060,2023.0,1359481,DC v GT,DC,GT,DC,1,4,6,4,"Little to Warner, FOUR",True,False,False,219889,David Warner,16.0,17.0,928067.0,Josh Little,2.0,0.0,13.0,0.0,272450.0,Mitchell Marsh,0.0,2.0,481896.0,Mohammed Shami,2.0,0.0,20.0,1.0,,,,,,,False,"<strong>Oh, a high, high full toss that catches Warner by surprise</strong>. He looks to slog it away through the leg side, gets a thick outside edge as the ball hurries away to the deep third fence. Not called a no-ball and Warner has reviewed. That was just below the waist, so the on-field umpire's decision",,
1466,14010,2023.0,1359481,DC v GT,DC,GT,DC,1,5,1,4,"Mohammed Shami to Marsh, FOUR",True,False,False,272450,Mitchell Marsh,4.0,3.0,481896.0,Mohammed Shami,2.1,0.0,24.0,1.0,219889.0,David Warner,16.0,17.0,928067.0,Josh Little,2.0,0.0,13.0,0.0,,,,,,,False,"<strong>Oh, SHOT!</strong> Marsh at his best. Good length ball just outside off, he punches through covers and finds the gap to perfection.",,"<p>Sankalp: ""Warner looks woefully out of form. Missing out on some deliveries that he would have put away easily in his prime""</p>"
1467,14020,2023.0,1359481,DC v GT,DC,GT,DC,1,5,2,0,"Mohammed Shami to Marsh, OUT",False,False,False,272450,Mitchell Marsh,4.0,4.0,481896.0,Mohammed Shami,2.2,0.0,24.0,2.0,219889.0,David Warner,16.0,17.0,928067.0,Josh Little,2.0,0.0,13.0,0.0,272450.0,Mitchell Marsh,Mohammed Shami,4.0,4.0,MR Marsh  b Mohammed Shami 4 (10m 4b 1x4 0x6) SR: 100.00,False,"<strong>Cleans him up, and Shami has his second!</strong> Length ball with a bit of shape away from the batter. He looks to push through the off-side, without any foot movement and is caught on the crease. Can only manage a thick inside-edge as the ball rattles his off and middle poles.",,
