,comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
1932,150,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,1,4,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,0.0,4.0,940973.0,Mohammed Siraj,0.4,0.0,5.0,0.0,851403.0,Venkatesh Iyer,0.0,0.0,,,,,,,,,,,,,False,"just short of a length, outside off, pushed to point","<p>""Why does teams name a foreigner as an Impact player list when they already have 4 foreigners in their playing XI? "" Kamalesh, you can substitute an overseas player with an overseas player if the original player has had no part to play in the game. For example if they have not batted.</p>",
1933,160,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,1,5,4,"Mohammed Siraj to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,4.0,5.0,940973.0,Mohammed Siraj,0.5,0.0,9.0,0.0,851403.0,Venkatesh Iyer,0.0,0.0,,,,,,,,,,,,,False,"what outfield. Short of a length, some width there, Gurbaz throws his hands at it, Willey at deep third has not far to go to cover it, but he is rushed into it. He does so, gets behind the ball, is down to field it, but gets a bad bounce, which defeats him and goes for four",,
1934,170,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,1,6,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,4.0,6.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,851403.0,Venkatesh Iyer,0.0,0.0,,,,,,,,,,,,,False,perfect delivery. Outswinger ending on top of off. Gurbaz has to defend it,,
1935,11010,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,2,1,0,"Willey to Iyer, no run",False,False,False,851403,Venkatesh Iyer,0.0,1.0,308251.0,David Willey,0.1,0.0,0.0,0.0,974087.0,Rahmanullah Gurbaz,4.0,6.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"looks for swing. Middle and off, on a length, but it goes with the angle. Pushed to mid-on",<p>David Willey to bowl. One wide slip in place</p>,
1936,11020,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,2,2,1,"Willey to Iyer, 1 run",False,False,False,851403,Venkatesh Iyer,1.0,2.0,308251.0,David Willey,0.2,0.0,1.0,0.0,974087.0,Rahmanullah Gurbaz,4.0,6.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"slightly short of a length, pushed past midwicket for one",,
1937,11030,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,2,3,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,4.0,7.0,308251.0,David Willey,0.3,0.0,1.0,0.0,851403.0,Venkatesh Iyer,1.0,2.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"pushed to mid-on, sent back, and rightly so",,
1938,11040,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,2,4,1,"Willey to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,5.0,8.0,308251.0,David Willey,0.4,0.0,2.0,0.0,851403.0,Venkatesh Iyer,1.0,2.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"good field placement. Gurbaz jumps out of the crease, flicks on the leg side, deliberately in the air. However, RCB have a deep square leg to keep them down to one. That is good scouting",,
1939,11050,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,2,5,1,"Willey to Iyer, 1 run",False,False,False,851403,Venkatesh Iyer,2.0,3.0,308251.0,David Willey,0.5,0.0,3.0,0.0,974087.0,Rahmanullah Gurbaz,5.0,8.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"pushes at a length ball, gets a thick outside edge past point for one",,
1940,11060,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,2,6,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,5.0,9.0,308251.0,David Willey,1.0,0.0,3.0,0.0,851403.0,Venkatesh Iyer,2.0,3.0,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"some shape there. Hits the pad, but has started too straight and is missing leg",,
1941,12010,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,1,0,"Mohammed Siraj to Iyer, no run",False,False,False,851403,Venkatesh Iyer,2.0,4.0,940973.0,Mohammed Siraj,1.1,0.0,9.0,0.0,974087.0,Rahmanullah Gurbaz,5.0,9.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"on a length, middle and off, defended",<p>Over the wicket to the left-hand batter</p>,
1942,12020,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,2,1,"Mohammed Siraj to Iyer, 1 run",False,False,False,851403,Venkatesh Iyer,3.0,5.0,940973.0,Mohammed Siraj,1.2,0.0,10.0,0.0,974087.0,Rahmanullah Gurbaz,5.0,9.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"this one is pitched outside leg, and is punched wide of mid-on for one",,
1943,12030,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,3,4,"Mohammed Siraj to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,9.0,10.0,940973.0,Mohammed Siraj,1.3,0.0,14.0,0.0,851403.0,Venkatesh Iyer,3.0,5.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"short, wide, with no deep fielder on the off side. Gurbaz slashes at it, doesn't bother to keep it down, and gets four for it",,
1944,12040,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,4,4,"Mohammed Siraj to Rahmanullah Gurbaz, 4 byes",False,False,False,974087,Rahmanullah Gurbaz,9.0,11.0,940973.0,Mohammed Siraj,1.4,0.0,14.0,0.0,851403.0,Venkatesh Iyer,3.0,5.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"<strong>cuts him in two</strong>. Beats the diving Karthik too. This is the wobble-seam delivery that jags back in after pitching short of a length. Beats the inside edge, goes over the stumps, and keeps going",,
1945,12050,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,5,4,"Mohammed Siraj to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,13.0,12.0,940973.0,Mohammed Siraj,1.5,0.0,18.0,0.0,851403.0,Venkatesh Iyer,3.0,5.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"this is poor bowling. His two deep fielders are on the leg side, and he is bowling wide. All Gurbaz has to do is steer it past short third",,
1946,12070,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,6,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,851403.0,Venkatesh Iyer,3.0,5.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"looks like a slower ball, Gurbaz defends the length ball off the front foot",,
1947,12060,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,3,6,1,"Mohammed Siraj to Rahmanullah Gurbaz, 1 wide",False,True,False,974087,Rahmanullah Gurbaz,13.0,12.0,940973.0,Mohammed Siraj,1.5,0.0,19.0,0.0,851403.0,Venkatesh Iyer,3.0,5.0,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"aggression from Siraj. A proper bouncer. Called a wide. Siraj wants a review, but du Plessis says no",,
1948,13010,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,4,1,0,"Willey to Iyer, no run",False,False,False,851403,Venkatesh Iyer,3.0,6.0,308251.0,David Willey,1.1,0.0,3.0,0.0,974087.0,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,"on a length, around off, Iyer punches it off the back foot to mid-on",,
1949,13020,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,4,2,0,"Willey to Iyer, OUT",False,False,False,851403,Venkatesh Iyer,3.0,7.0,308251.0,David Willey,1.2,0.0,3.0,1.0,974087.0,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,851403.0,Venkatesh Iyer,David Willey,3.0,7.0,VR Iyer  b Willey 3 (18m 7b 0x4 0x6) SR: 42.85,False,"timber. This has jagged back in to hit the middle stump. He has missed this by a long way. Willey stays on a length, just outside off, Iyer likes to play off the back foot, and tries to muscle it through the off side. The seam movement beats him by six inches at least",,
1950,13030,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,4,3,0,"Willey to Mandeep Singh, OUT",False,False,False,398506,Mandeep Singh,0.0,1.0,308251.0,David Willey,1.3,0.0,3.0,2.0,974087.0,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,398506.0,Mandeep Singh,David Willey,0.0,1.0,Mandeep Singh  b Willey 0 (2m 1b 0x4 0x6) SR: 0.00,False,"and he is already the old batter. How has that hit the off stump? Left-arm quick, hitting the off stump of a right-hand batter usually happens when the ball is swinging back in or if the batter is going hammer and tongs. This one, though, is a wobble-seam delivery that lands on middle and off, seams away to beat Mandeep's defensive prod, and still manages to clip the off stump. Mandeep is squared up","<p>Mandeep Singh, former RCB, is the new batter in</p>",
1951,13040,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,4,4,0,"Willey to Rana, no run",False,False,False,604527,Nitish Rana,0.0,1.0,308251.0,David Willey,1.4,0.0,3.0,2.0,974087.0,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,"length ball, at the stumps, played towards that short midwicket, but with soft hands",<p>Nitish Rana to face the hat-trick ball. A slip and a short midwicket</p>,
1952,13050,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,4,5,0,"Willey to Rana, no run",False,False,False,604527,Nitish Rana,0.0,2.0,308251.0,David Willey,1.5,0.0,3.0,2.0,974087.0,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,"this one swings away, and is left alone",,
1953,13060,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,4,6,0,"Willey to Rana, no run",False,False,False,604527,Nitish Rana,0.0,3.0,308251.0,David Willey,2.0,1.0,3.0,2.0,974087.0,Rahmanullah Gurbaz,13.0,13.0,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,defends a length ball. <strong>That is a double-wicket maiden</strong>,<p>Two wobble-seam deliveries this over. Both have pitched and seamed from right to left. Both have hit the timber</p>,
1954,14010,2023.0,1359483,KKR v RCB,KKR,RCB,KKR,1,5,1,0,"Akash Deep to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,13.0,14.0,1176959.0,Akash Deep,0.1,0.0,0.0,0.0,604527.0,Nitish Rana,0.0,3.0,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,gets away with a short and wide delivery. Kohli makes a good one-handed save at short point,<p>Akash Deep is the new bowler</p>,
